cell_line_id,cell_line_name,organ,site_type,disease,age,sex,category,species
CVCL_E6EY,"CCLF-KL1105T,CCLF_KL1105T,CPDM_0603X","Brain, left temporal cortex",Metastatic,Melanoma,74Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_E6F6,"CCLF-KL1187T,CCLF_KL1187T,CPDM_0762X","Brain, left temporal cortex",Metastatic,Melanoma,73Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_D3Z0,"CCLF-MELM_0026-T-B,CCLF_MELM_0026_T_B",Brain,Metastatic,Melanoma,58Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_X382,"COLO 297F,COLO #297,Colorado 297",Brain,Metastatic,Melanoma,76Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_1134,"COLO 792,COLO-792,COLO #792,COLO792,Colorado 792",Brain,Metastatic,Melanoma,62Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_GR69,Ed141.MEL,Brain,Metastatic,Melanoma,54Y,Male,Finite cell line,Homo sapiens (Human)
CVCL_IS45,"HTZ-19 dM,HTZ 19-dM,HTZ-19,HTZ 19",Brain,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_4733,"A-875,A875,875","Brain, right frontal lobe",Metastatic,Melanoma,40Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_E2VJ,A2018,Brain,Metastatic,Melanoma,74Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_ZG30,LB3080-MELA,Brain,Metastatic,Melanoma,60Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_UC32,"LM-MEL-24,LM-Mel-24,Ludwig Melbourne-MELanoma-24","Brain, left parietal lobe",Metastatic,Melanoma,38Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_UC50,"LM-MEL-45,LM-Mel-45,Ludwig Melbourne-MELanoma-45","Brain, right occipital lobe",Metastatic,Melanoma,33Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_UC22,"LM-MEL-7,LM-Mel-7,Ludwig Melbourne-MELanoma-7",Brain,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_UC64,"LM-MEL-71,LM-Mel-71,Ludwig Melbourne-MELanoma-71","Brain, right occipital lobe",Metastatic,Melanoma,48Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_UC67,"LM-MEL-77,LM-Mel-77,Ludwig Melbourne-MELanoma-77",Brain,Metastatic,Melanoma,48Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_UC23,"LM-MEL-8,LM-Mel-8,Ludwig Melbourne-MELanoma-8",Brain,Metastatic,Melanoma,36Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_DI43,M970109,Brain,Metastatic,Melanoma,49Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_A137,"Ma-Mel-114,MaMel114",Brain,Metastatic,Melanoma,67Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_A180,"Ma-Mel-45a,Ma-Mel_45A,Ma-Mel-45A,Ma-Mel 45a,MaMel45a",Brain,Metastatic,Melanoma,39Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_ZD05,"Mel 06.07,MEL06.07,06.07",Brain,Metastatic,Melanoma,36Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_VV72,"MUG-Mel1,MUG Mel1,MUGMel1,Medical University of Graz-Melanoma 1",Brain,Metastatic,Melanoma,61Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_VV73,"MUG-Mel1 clone C8,MUG-Mel1 C8,MUG-MEL1-C8,C8,Medical University of Graz-Melanoma 1 clone C8",Brain,Metastatic,Melanoma,61Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_VV74,"MUG-Mel1 clone D5,MUG-Mel1 D5,MUG-MEL1-D5,D5,Medical University of Graz-Melanoma 1 clone D5",Brain,Metastatic,Melanoma,61Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_1672,"RVH-421,RVH 421,RVH421",Brain,Metastatic,Melanoma,28Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_A1VM,"RVH-421 Dab-R,RVH421_Dab,RVH421 SKIN FV1,RVH421SKINFV1",Brain,Metastatic,Melanoma,28Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_RR54,"RVH-421rPLX4720_10muM,RVH-421rPLX4720(10muM)",Brain,Metastatic,Melanoma,28Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_1E24,"SW690,SW-690,SW 690",Brain,Metastatic,Melanoma,76Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_5G76,"TC 491,TC491,Tissue Culture 491","Brain, cerebellum",Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_5645,"TXM-13,TXM13",Brain,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_5646,"TXM-18,TXM18",Brain,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_5647,"TXM-34,TXM34",Brain,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_5648,"TXM-40,TXM40",Brain,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_T308,"UCT-Mel 5,UCT Mel-5,University of Cape Town-Melanoma cell line 5",Brain,Metastatic,Melanoma,48Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_A732,VMM1,Brain,Metastatic,Melanoma,62Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_6800,"WM3734,WM-3734,WM 3734,WC00090",Brain,Metastatic,Melanoma,24Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_L217,YP-MEL,Brain,Metastatic,Melanoma,4Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_A744,"YUGEN8,YUGEN-8,YUGEN 8",Brain,Metastatic,Melanoma,44Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_K009,YUGANK,Brain,Metastatic,Cutaneous melanoma,78Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_T593,NYU09-085,Brain,Metastatic,Acral lentiginous melanoma,68Y,Female,Cancer cell line,Homo sapiens (Human)
